timepointyears,geographicaream49,toi_aff
1980,418,0.0206
1981,418,0.0654
1982,418,0.0282
1983,418,0.0351
1984,418,0.0397
1985,418,0.012
1986,418,0.0058
1987,418,0.008
1988,418,0.0089
1989,418,0.0216
1990,418,0.015
1991,418,0.0326
1992,418,0.021
1993,418,0.0227
1994,418,0.0371
1995,418,0.0406
1996,418,0.0448
1997,418,0.0437
1998,418,0.0483
1999,418,0.0298
2000,418,0.0317
2001,418,0.0447
2002,418,0.0462
2003,418,0.0413
2004,418,0.0504
2005,418,0.0644
2006,418,0.0716
2007,418,0.0475
2008,418,0.0674
2009,418,0.0855
2010,418,0.0851
2011,418,0.0875
2012,418,0.0652
2013,418,0.074
2014,418,0.1498
2015,418,0.2437
2016,418,0.2672
2017,418,0.2738
2018,418,0.277
1970,422,1.0396
1971,422,0.9937
1972,422,0.7833
1973,422,0.8849
1974,422,0.6198
1975,422,1.0118
1976,422,1.9787
1977,422,1.5361
1978,422,1.5397
1979,422,1.7957
1980,422,1.6962
1981,422,1.7378
1982,422,2.3405
1983,422,1.6262
1984,422,1.2067
1985,422,0.9289
1986,422,0.9919
1987,422,0.9001
1988,422,1.3225
1989,422,2.4068
1990,422,1.6976
1991,422,1.8868
1992,422,1.1564
1993,422,1.0894
1994,422,0.841
1995,422,0.8852
1996,422,0.7746
1997,422,0.8741
1998,422,0.7909
1999,422,0.8191
2000,422,0.7811
2001,422,0.8133
2002,422,0.919
2003,422,0.9326
2004,422,0.98
2005,422,0.9466
2006,422,0.8469
2007,422,0.9977
2008,422,1.0467
2009,422,1.1218
2010,422,1.1084
2011,422,1.0173
2012,422,1.1111
2013,422,1.1757
2014,422,1.1211
2015,422,1.3538
2016,422,1.2898
2017,422,1.2121
2018,422,1.0779
1970,426,0.4764
1971,426,0.5225
1972,426,0.5359
1973,426,0.4449
1974,426,0.3462
1975,426,0.5093
1976,426,0.715
1977,426,0.5979
1978,426,0.5976
1979,426,0.5927
1980,426,0.7924
1981,426,0.7755
1982,426,1.1678
1983,426,1.6206
1984,426,1.3583
1985,426,0.7633
1986,426,0.8888
1987,426,1.0792
1988,426,1.336
1989,426,1.2021
1990,426,1.2971
1991,426,2.2399
1992,426,1.9537
1993,426,1.8704
1994,426,1.8422
1995,426,1.6327
1996,426,2.0438
1997,426,1.6453
1998,426,1.5904
1999,426,1.1934
2000,426,1.076
2001,426,0.9308
2002,426,1.6638
2003,426,1.4616
2004,426,1.2981
2005,426,1.1399
2006,426,1.5457
2007,426,1.784
2008,426,2.0992
2009,426,2.0209
2010,426,1.8222
2011,426,1.8668
2012,426,2.0423
2013,426,1.497
2014,426,2.4646
2015,426,2.2325
2016,426,2.0023
2017,426,2.1007
2018,426,2.1298
1995,430,0.0474
1996,430,0.0858
1997,430,0.0443
1998,430,0.0185
1999,430,0.0305
2000,430,0.0274
2001,430,0.0076
2002,430,0.0045
2003,430,0.0407
2004,430,0.0202
2005,430,0.0209
2006,430,0.0236
2007,430,0.0218
2008,430,0.0288
2009,430,0.0128
2010,430,0.0199
2011,430,0.0389
2012,430,0.0368
2013,430,0.034
2014,430,0.038
2015,430,0.043
2016,430,0.0369
2017,430,0.0334
2018,430,0.0293
1995,434,0.5033
1996,434,0.5034
1997,434,0.4618
1998,434,0.4789
1999,434,0.3049
2000,434,0.2958
2001,434,0.381
2002,434,0.7025
2003,434,0.6783
2004,434,0.913
2005,434,0.823
2006,434,0.7158
2007,434,0.6567
2008,434,0.7253
2009,434,0.714
2010,434,1.0452
2011,434,2.8241
2012,434,3.9955
2013,434,7.0603
2014,434,10.8071
2015,434,23.5365
2016,434,15.0316
2017,434,11.7051
2018,434,9.2179
1992,440,0.2019
1993,440,0.2598
1994,440,0.4111
1995,440,0.413
1996,440,0.8447
1997,440,0.7764
1998,440,0.7921
1999,440,0.9516
2000,440,0.8983
2001,440,1.2786
2002,440,1.2178
2003,440,1.4439
2004,440,1.6126
2005,440,2.0949
2006,440,2.553
2007,440,2.4576
2008,440,3.5343
2009,440,3.2545
2010,440,3.5073
