Identifier,Code,Start_Year,End_Year,Public,Type,Name_En,Name_Fr,Name_Es,Name_Ar,Name_Zh,Name_Ru,ShortName_En,ShortName_Fr,ShortName_Es,ShortName_Ar,ShortName_Zh,ShortName_Ru,Definition,ScopeNote,HistoryNote,EditorialNote,SubSet
788,TND,,,,,Tunisian Dinar,Dinar tunisien,Dinar tunecino,,,,Tunisian Dinar,Dinar tunisien,Dinar tunecino,,,,,,,,
800,UGX,1988,,,,Uganda Shilling,Shilling ougandais,Chelín ugandés,,,,Uganda Shilling,Shilling ougandais,Chelín ugandés,,,,,,,Start Date removed in SWS,
807,MKD,,,,,Denar,Denar,Denar,,,,Denar,Denar,Denar,,,,,,,,
818,EGP,,,,,Egyptian Pound,Livre égyptienne,Libra egipcia,,,,Egyptian Pound,Livre égyptienne,Libra egipcia,,,,,,,,
826,GBP,,,,,Pound Sterling,Livre sterling,Libra esterlina,,,,Pound Sterling,Livre sterling,Libra esterlina,,,,,,,,
834,TZS,,,,,Tanzanian Shilling,Shilling de Tanzanie,Chelín tanzano,,,,Tanzanian Shilling,Shilling de Tanzanie,Chelín tanzano,,,,,,,,
840,USD,,,,,US Dollar,Dollar des États-Unis,Dólar de EE.UU.,,,,US Dollar,Dollar des États-Unis,Dólar de EE.UU.,,,,,,,,
858,UYU,1993,,,,Peso Uruguayo,Peso uruguayen,Peso uruguayo,,,,Peso Uruguayo,Peso uruguayen,Peso uruguayo,,,,,,,Start Date removed in SWS,
860,UZS,,,,,Uzbekistan Sum,Soum d'Ouzbékistan,Sum Uzbekistán,,,,Uzbekistan Sum,Soum d'Ouzbékistan,Sum Uzbekistán,,,,,,,,
882,WST,,,,,Tala,Tala,Tala,,,,Tala,Tala,Tala,,,,,,,,
886,YER,,,,,Yemeni Rial,Riyal du Yémen,Rial yemení,,,,Yemeni Rial,Riyal du Yémen,Rial yemení,,,,,,,,
891,YUM,1993,2005,,,New Dinar,New Dinar,New Dinar,,,,New Dinar,New Dinar,New Dinar,,,,,,,,
901,TWD,,,,,New Taiwan Dollar,Nouveau dollar de Taïwan,Nuevo dólar taiwanés,,,,New Taiwan Dollar,Nouveau dollar de Taïwan,Nuevo dólar taiwanés,,,,,,,,
928,VES,2018,,,,Bolívar Soberano,Bolivar souverain,Bolívar soberano,,,,Bolívar Soberano,Bolivar souverain,Bolívar soberano,,,,,,,Start Date removed in SWS,
929,MRU,2018,,,,Ouguiya,Ouguiya,Ouguiya,,,,Ouguiya,Ouguiya,Ouguiya,,,,,,,Start Date removed in SWS,
930,STN,2017,,,,Dobra,Dobra,Dobra,,,,Dobra,Dobra,Dobra,,,,,,,Start Date removed in SWS,
931,CUC,,,,,Peso Convertible,Peso Convertible,Peso Convertible,,,,Peso Convertible,Peso Convertible,Peso Convertible,,,,,,,,
932,ZWL,2009,,,,Zimbabwe Dollar,Dollar du Zimbabwe,Dólar de Zimbabwe,,,,Zimbabwe Dollar,Dollar du Zimbabwe,Dólar de Zimbabwe,,,,,,,Start Date removed in SWS,
933,BYN,2016,,,,Belarusian Ruble,Rouble bélorussien,Rublo belaruso,,,,Belarusian Ruble,Rouble bélorussien,Rublo belaruso,,,,,,,Start Date removed in SWS,
934,TMT,2009,,,,Turkmenistan New Manat,Nouveau manat du Turkménistan,Nuevo manat de Turkmenistán,,,,Turkmenistan New Manat,Nouveau manat du Turkménistan,Nuevo manat de Turkmenistán,,,,,,,Start Date removed in SWS,
936,GHS,,,,,Ghana Cedi,Ghana Cedi,Cedi de Ghana,,,,Ghana Cedi,Ghana Cedi,Cedi de Ghana,,,,,,,,
938,SDG,2007,,,,Sudanese Pound,Livre soudanaise,Libra sudanesa,,,,Sudanese Pound,Livre soudanaise,Libra sudanesa,,,,,,,Start Date removed in SWS,
941,RSD,,,,,Serbian Dinar,Dinar serbe,Dinar serbio,,,,Serbian Dinar,Dinar serbe,Dinar serbio,,,,,,,,
943,MZN,2006,,,,Mozambique Metical,Metical,Metical,,,,Mozambique Metical,Metical,Metical,,,,,,,Start Date removed in SWS,
944,AZN,,,,,Azerbaijan Manat,Manat,Manat,,,,Azerbaijan Manat,Manat,Manat,,,,,,,,
946,RON,2005,,,,Romanian Leu,Leu roumain,Leu rumano,,,,Romanian Leu,Leu roumain,Leu rumano,,,,,,,Start Date removed in SWS,
947,CHE,,,,,WIR Euro,WIR Euro,WIR Euro,,,,WIR Euro,WIR Euro,WIR Euro,,,,,,,,
948,CHW,,,,,WIR Franc,WIR Franc,WIR Franc,,,,WIR Franc,WIR Franc,WIR Franc,,,,,,,,
949,TRY,,,,,Turkish Lira,Livre turque,Lira turca,,,,Turkish Lira,Livre turque,Lira turca,,,,,,,,
950,XAF,,,,,CFA Franc BEAC,Franc CFA (BEAC),Franco CFA (BEAC),,,,CFA Franc BEAC,Franc CFA (BEAC),Franco CFA (BEAC),,,,,,,,
951,XCD,,,,,East Caribbean Dollar,Dollar des Caraïbes orientales,Dólar del Caribe oriental,,,,East Caribbean Dollar,Dollar des Caraïbes orientales,Dólar del Caribe oriental,,,,,,,,
952,XOF,,,,,CFA Franc BCEAO,Franc CFA (BCEAO),Franco CFA (BCEAO),,,,CFA Franc BCEAO,Franc CFA (BCEAO),Franco CFA (BCEAO),,,,,,,,
953,XPF,,,,,CFP Franc,Franc CFP,Franco CFP,,,,CFP Franc,Franc CFP,Franco CFP,,,,,,,,
967,ZMW,,,,,Zambian Kwacha,Kwacha zambien,Kwacha zambiano,,,,Zambian Kwacha,Kwacha zambien,Kwacha zambiano,,,,,,,,
968,SRD,,,,,Suriname Dollar,Dollar surinamais,Dólar surinamés,,,,Suriname Dollar,Dollar surinamais,Dólar surinamés,,,,,,,,
969,MGA,,,,,Malagasy Ariary,Malagasy ariary,Ariary malgache,,,,Malagasy Ariary,Malagasy ariary,Ariary malgache,,,,,,,,
971,AFN,2003,,true,,Afghani,Afghani,Afghani,,,,Afghani,Afghani,Afghani,,,,,,,Start Date removed in SWS,
972,TJS,2002,,,,Somoni,Somoni,Somoni,,,,Somoni,Somoni,Somoni,,,,,,,Start Date removed in SWS,
973,AOA,1999,,,,Kwanza,Kwanza,Kwanza,,,,Kwanza,Kwanza,Kwanza,,,,,,,Start Date removed in SWS,
