to_currency,from_currency,Value
MWK,MWP,0.5000000000000
MWP,RHFP,1.0000000000000
MXN,MXP,1000.0000000000000
MYAD,BNBD,1.0000000000000
MYAD,MYAG,1.0000000000000
MYAD,STSD,1.0000000000000
MYAD,SWKD,1.0000000000000
MYR,MYAD,1.0000000000000
MZE,PTE,1.0000000000000
MZM,MZE,1.0000000000000
MZN,MZM,1000.0000000000000
NAD,ZAR,1.0000000000000
NGN,NGP,0.5000000000000
NGP,XWAP,1.0000000000000
NHF,FRF,0.0550000000000
NHF,FRG,2.4000000000000
NHP,FRG,2.4000000000000
NIC,NIG,1000.0000000000000
NIG,NIP,12.5000000000000
NIO,NIC,5000000.0000000000000
NNGG,NLG,1.0000000000000
NOK,SEK,1.0000000000000
NOK,XSMK,1.0000000000000
NZD,NZP,0.5000000000000
NZD,WSP,0.5000000000000
NZP,GBP,1.0000000000000
OMR,OMS,1.0000000000000
OMS,GBP,1.0000000000000
OMS,XPGR,21.0000000000000
PAB,USD,1.0000000000000
PEI,PES,1000.0000000000000
PEN,PEI,1000000.0000000000000
PEP,FRG,5.0000000000000
PES,FRG,5.0000000000000
PES,PEP,1.0000000000000
PGK,AUD,1.0000000000000
PKR,INR,1.0000000000000
PLN,PLZ,10000.0000000000000
PLX,USD,1.0000000000000
PLZ,PLO,100.0000000000000
PTC,PTE,1000.0000000000000
PTC,PTR,1000000.0000000000000
PTE,CVM,1000.0000000000000
PTE,INR,0.1666666670000
PTE,PTM,1.0000000000000
PTE,PTR,1000.0000000000000
PTE,TPP,0.1785000000000
PYG,PYP,100.0000000000000
QAR,XQDR,1.0000000000000
REF,XCFG,1.0000000000000
REN,REF,50.0000000000000
RHD,RHP,0.5000000000000
RHFP,RHSP,1.0000000000000
RHP,RHFP,1.0000000000000
ROL,ALF,0.2500000000000
ROL,HUP,0.1000000000000
ROL,ITL,0.3330000000000
RON,ROL,10000.0000000000000
RSD,CSD,1.0000000000000
RUB,RUR,1000.0000000000000
RUB,SUR,1000.0000000000000
RUR,SUR,1.0000000000000
RUTS,RUR,100.0000000000000
RWF,BRIF,1.0000000000000
SAR,XPGR,1.0650000000000
SBD,AUD,1.0000000000000
SCR,XSS,1.5000000000000
SDD,SDP,10.0000000000000
SDG,SDD,100.0000000000000
SDG,SDP,1000.0000000000000
SDP,EGP,1.0000000000000
SEK,SEM,1.0000000000000
SGD,MYR,1.0000000000000
SHP,GBP,1.0000000000000
SIB,YUN,1.0000000000000
SIT,SIB,1.0000000000000
SIT,YUN,1.0000000000000
SKK,CSK,1.0000000000000
SLL,XWAP,0.5000000000000
SML,ITL,1.0000000000000
SOBS,XEAS,1.0000000000000
SON,SOS,1.0000000000000
SOS,XEAS,1.0000000000000
SQS,SOS,1000.0000000000000
SRD,SRG,1000.0000000000000
SRDD,ALF,0.1250000000000
SRDD,HRDK,2.0000000000000
SRDD,HUP,0.0500000000000
SRDD,ITL,0.1665000000000
SRDD,ROL,0.5000000000000
SRG,ANG,1.0000000000000
STD,STE,1.0000000000000
STE,PTE,1.0000000000000
STE,STM,1.0000000000000
STM,PTE,1.0000000000000
STSD,BNBD,1.0000000000000
STSD,MYAG,1.0000000000000
STSD,SWKD,1.0000000000000
SUN,SUG,10.0000000000000
SUR,DEM,0.0125000000000
SUR,SUN,10.0000000000000
SVC,SVP,1.0000000000000
SVP,USD,2.0000000000000
SYP,XLSP,1.0000000000000
SZL,ZAR,1.0000000000000
TCC,JMD,1.0000000000000
TCC,JMP,0.5000000000000
TDF,XEF,1.0000000000000
THB,THT,1.0000000000000
TJR,RUR,100.0000000000000
TJS,RUR,100000.0000000000000
TJS,SUR,100000.0000000000000
TJS,TJR,1000.0000000000000
TMM,RUR,500.0000000000000
TMM,SUR,500.0000000000000
TMT,TMM,5000.0000000000000
TND,TNF,1000.0000000000000
TOP,TOS,1.0000000000000
TOS,AUP,1.0000000000000
TPE,PTE,1.0000000000000
TPE,TPP,0.1785000000000
TRL,XOTL,1.0000000000000
TRY,TRL,1000000.0000000000000
TSP,GBP,1.0000000000000
TSP,SHP,1.0000000000000
TVD,AUD,1.0000000000000
TWD,TWN,40000.0000000000000
TZS,XEAS,1.0000000000000
UAH,RUR,100000.0000000000000
UAH,SUR,100000.0000000000000
UAH,UAK,100000.0000000000000
UAK,RUR,1.0000000000000
UAK,SUR,1.0000000000000
UGS,XEAS,1.0000000000000
UGX,UGS,100.0000000000000
USD,DOS,5.0000000000000
USD,ECS,25000.0000000000000
USD,ESP,5.0000000000000
USD,FRG,5.0000000000000
USD,SAR,3.7500000000000
USD,SVC,8.7500000000000
USD,USC,1000.0000000000000
USD,XMSD,1.0000000000000
USD,ZWD,361.9000000000000
UYF,FRG,5.0000000000000
UYP,UYF,1000.0000000000000
UYU,UYP,1000.0000000000000
UZC,RUR,1.0000000000000
UZS,RUR,1000.0000000000000
UZS,SUR,1000.0000000000000
UZS,UZC,1000.0000000000000
VDD,ICFP,0.0320000000000
VDN,ICFP,32.0000000000000
VDN,VDD,1000.0000000000000
VDN,VNR,500.0000000000000
VDN,VNS,0.8000000000000
VEB,VEV,0.2000000000000
VEF,VEB,1000.0000000000000
VGD,USD,1.0000000000000
VND,VNN,10.0000000000000
VNN,VDN,1.0000000000000
VNN,VNS,0.8000000000000
VNR,FRF,10.0000000000000
VNR,ICFP,1.0000000000000
VNS,VNR,625.0000000000000
VUV,NHF,1.0000000000000
WSP,NZP,1.0000000000000
WST,NZD,1.0000000000000
WST,WSP,0.5000000000000
XAF,CFF,1.0000000000000
XAF,CMF,1.0000000000000
XAF,COF,1.0000000000000
XAF,GAF,1.0000000000000
XAF,GQF,1.0000000000000
XAF,TDF,1.0000000000000
XAF,XEF,1.0000000000000
XBCD,XBWD,1.0000000000000
XBWD,BBP,0.2083333330000
XBWD,GBP,0.2083333330000
XBWD,GYD,1.0000000000000
XBWD,TTD,1.0000000000000
XCD,XBCD,1.0000000000000
XCD,XBWD,1.0000000000000
XCF,FRG,50.0000000000000
XCF,XCFG,50.0000000000000
XCFG,FRG,1.0000000000000
XEAF,GBP,0.0500000000000
XEAS,ETT,0.3335000000000
XEAS,GBP,0.0250000000000
XEAS,XEAF,0.5000000000000
XEF,XAEF,1.0000000000000
XINP,INR,1.0000000000000
XMCF,FRG,2.0000000000000
XMCF,MGG,1.0000000000000
XMF,FRF,1.0000000000000
XMSD,MXP,1.0000000000000
XMSD,USC,1000.0000000000000
XNF,GUF,100.0000000000000
XOF,FRF,0.0200000000000
XOF,GWP,65.0000000000000
XOF,MLF,2.0000000000000
XOF,XCOF,1.0000000000000
XPF,FRF,0.0550000000000
XPF,NHF,1.0000000000000
XPGR,INR,1.0000000000000
XPGR,USD,0.2100000000000
XQDR,BHD,1.0000000000000
XQDR,SAR,1.0000000000000
XSMK,SEK,1.0000000000000
XWAP,GBP,1.0000000000000
YDD,XEAS,20.0000000000000
YEI,GBP,0.3333333330000
YER,GBP,0.3333333330000
YER,YDD,0.0384615380000
YER,YEI,1.0000000000000
YUD,YUF,100.0000000000000
YUF,ALF,2.5000000000000
YUF,HRD,40.0000000000000
YUF,HRDK,40.0000000000000
YUF,HUP,1.0000000000000
YUF,ITL,3.3300000000000
YUF,ROL,10.0000000000000
YUF,SRD,20.0000000000000
YUF,SRDD,20.0000000000000
YUG,HRKO,1000000000.0000000000000
YUG,YUO,1000000000.0000000000000
YUH,DEM,0.0001000000000
YUK,ATEK,1.0000000000000
YUM,DEM,1.0000000000000
YUM,EUR,1.9588300000000
YUM,YUG,10000000.0000000000000
YUN,DEM,0.1428571430000
YUN,YUD,10000.0000000000000
YUN,YUH,10000.0000000000000
YUO,HRKR,1000000.0000000000000
YUO,YUR,1000000.0000000000000
YUR,BASN,1000000.0000000000000
YUR,YUH,10.0000000000000
YUR,YUN,10.0000000000000
ZAP,GBP,1.0000000000000
ZAR,ZAP,0.5000000000000
ZMK,ZMP,0.5000000000000
ZMP,RHFP,1.0000000000000
ZMW,ZMK,1000.0000000000000
ZRN,ZRZ,3000000.0000000000000
ZRZ,CDG,1000.0000000000000
ZRZ,CDZ,1.0000000000000
ZWD,RHD,1.0000000000000
ZWN,ZWD,1000.0000000000000
